"Date","Price","Open","High","Low","Vol.","Change %"
"06-01-2025","90,573","89,449","91,445","88,801","174.16K","1.41%"
"03-01-2025","89,314","89,348","90,044","89,001","95.23K","0.10%"
"02-01-2025","89,224","89,224","89,224","89,224","","1.75%"
"01-01-2025","87,686","87,356","87,750","87,287","12.82K","0.37%"
"31-12-2024","87,367","87,536","87,871","87,175","75.48K","-0.34%"
"30-12-2024","87,661","89,063","89,260","87,204","102.65K","-1.51%"
"27-12-2024","89,006","89,848","90,276","88,666","107.38K","-0.75%"
"26-12-2024","89,681","89,402","90,030","89,200","80.79K","0.36%"
"24-12-2024","89,360","89,400","89,622","88,900","63.22K","0.20%"
"23-12-2024","89,178","88,700","89,500","88,622","96.43K","0.81%"
"20-12-2024","88,465","87,202","88,697","86,568","125.18K","1.30%"
"19-12-2024","87,326","90,200","90,200","86,838","156.21K","-3.46%"
"18-12-2024","90,456","90,817","90,995","90,150","70.46K","-0.51%"
"17-12-2024","90,921","91,001","91,198","90,071","98.87K","-0.32%"
"16-12-2024","91,216","91,200","91,600","90,823","75.76K","0.18%"
"13-12-2024","91,051","92,440","92,489","90,480","148.92K","-1.68%"
"12-12-2024","92,603","95,600","96,421","92,317","211.49K","-3.22%"
"11-12-2024","95,683","95,239","96,215","94,655","127.03K","0.34%"
"10-12-2024","95,362","95,005","95,550","94,405","117.96K","0.30%"
"09-12-2024","95,074","92,501","95,732","91,977","201.95K","2.85%"
"06-12-2024","92,441","92,528","93,176","91,850","123.20K","0.02%"
"05-12-2024","92,419","93,100","93,299","92,303","102.20K","-0.84%"
"04-12-2024","93,203","92,100","93,523","91,361","154.37K","1.12%"
"03-12-2024","92,168","91,332","92,320","91,094","129.85K","1.40%"
"02-12-2024","90,898","91,222","91,397","89,936","118.20K","-0.67%"
"29-11-2024","91,511","91,680","94,331","88,538","0.25K","2.83%"
"28-11-2024","88,995","87,222","90,383","86,945","0.28K","1.49%"
"27-11-2024","87,692","88,582","89,149","87,521","0.71K","-0.57%"
"26-11-2024","88,192","88,483","88,964","87,861","2.57K","0.58%"
"25-11-2024","87,686","89,888","90,059","87,324","44.74K","-3.12%"
"22-11-2024","90,507","89,851","90,926","89,431","102.77K","0.94%"
"21-11-2024","89,663","89,949","90,599","89,164","79.67K","-0.17%"
"20-11-2024","89,815","89,951","90,371","88,792","53.75K","-0.56%"
"19-11-2024","90,322","90,488","91,100","89,940","97.35K","0.12%"
"18-11-2024","90,212","88,530","90,464","88,530","95.35K","2.22%"
"15-11-2024","88,256","88,989","89,500","88,124","72.42K","-0.41%"
"14-11-2024","88,618","88,750","88,750","86,707","143.34K","-0.49%"
"13-11-2024","89,057","89,340","90,405","88,764","115.76K","-0.13%"
"12-11-2024","89,169","89,174","89,474","88,158","120.47K","0.10%"
"11-11-2024","89,081","91,040","91,470","88,821","136.26K","-2.27%"
"08-11-2024","91,151","91,893","92,290","90,900","136.64K","-1.03%"
"07-11-2024","92,104","90,211","92,348","89,900","153.45K","1.57%"
"06-11-2024","90,682","94,000","94,944","89,950","292.40K","-4.03%"
"05-11-2024","94,494","93,620","95,143","93,620","93.71K","0.39%"
"04-11-2024","94,123","95,156","95,156","93,621","118.51K","-1.22%"
"01-11-2024","95,285","94,712","95,499","94,551","22.72K","0.81%"
"31-10-2024","94,522","97,139","97,519","94,200","169.73K","-3.07%"
"30-10-2024","97,519","98,276","98,685","96,401","143.73K","-0.97%"
"29-10-2024","98,472","97,635","99,021","97,102","156.66K","1.27%"
"28-10-2024","97,235","96,500","97,680","95,900","131.10K","0.28%"
"25-10-2024","96,968","96,640","97,838","95,473","172.80K","0.13%"
"24-10-2024","96,842","97,654","98,380","95,881","175.85K","0.05%"
"23-10-2024","96,791","99,189","99,825","96,351","172.49K","-2.90%"
"22-10-2024","99,682","97,550","99,751","97,480","150.92K","2.53%"
"21-10-2024","97,221","97,010","98,350","96,330","154.54K","2.16%"
"18-10-2024","95,166","91,986","95,273","91,778","223.03K","3.88%"
"17-10-2024","91,615","91,820","92,600","91,000","165.69K","-0.46%"
"16-10-2024","92,041","91,608","92,970","91,411","140.36K","0.60%"
"15-10-2024","91,493","90,662","91,815","89,640","137.78K","0.92%"
"14-10-2024","90,662","91,380","91,489","90,360","112.53K","-0.97%"
"11-10-2024","91,546","90,443","91,741","90,410","115.22K","1.48%"
"10-10-2024","90,214","89,131","90,510","88,650","132.58K","1.52%"
"09-10-2024","88,859","88,960","89,540","88,273","124.09K","0.15%"
"08-10-2024","88,729","92,200","92,200","88,222","217.74K","-3.80%"
"07-10-2024","92,237","93,089","93,169","91,410","127.18K","-1.07%"
"04-10-2024","93,232","93,015","95,191","91,658","239.06K","0.44%"
"03-10-2024","92,825","91,611","93,050","91,355","148.55K","1.66%"
"01-10-2024","91,307","90,849","92,237","90,762","148.33K","0.73%"
"30-09-2024","90,644","91,400","92,037","90,135","136.41K","-0.74%"
"27-09-2024","91,317","92,289","93,061","91,120","172.87K","-1.30%"
"26-09-2024","92,516","92,046","93,939","91,770","217.57K","0.68%"
"25-09-2024","91,887","92,050","92,776","91,300","154.03K","-0.36%"
"24-09-2024","92,219","89,594","92,544","89,142","222.05K","3.42%"
"23-09-2024","89,172","90,199","90,200","88,301","147.56K","-0.98%"
"20-09-2024","90,058","89,900","90,600","89,420","142.42K","0.25%"
"19-09-2024","89,836","88,477","90,451","88,161","184.74K","1.81%"
"18-09-2024","88,238","89,555","89,555","88,065","99.70K","-0.91%"
